Name,URL,Category,Description,City,Country,Tags,Verified
Arata Press,https://www.aratapress.com/,Publisher/Media,Publisher specializing in anthroposophy and related topics,UK,UK,publisher;anthroposophy,Unverified
Floris Books,https://www.florisbooks.co.uk/,Publisher/Media,Scottish publisher of Waldorf and anthroposophical books,Scotland,UK,publisher;waldorf;anthroposophy;scotland,Unverified
Wynstones Press,https://wynstones.org/,Publisher/Media,Publisher of Golden Blade journal and anthroposophical works,UK,UK,publisher;anthroposophy,Unverified
Bell Pond Books,https://steinerbooks.org/,Publisher/Media,Imprint of SteinerBooks publishing anthroposophical works,USA,USA,publisher;anthroposophy,Unverified
Mercury Press,https://steinerbooks.org/,Publisher/Media,Imprint of SteinerBooks for anthroposophical publications,USA,USA,publisher;anthroposophy,Unverified
Portal Books,https://steinerbooks.org/,Publisher/Media,Imprint of SteinerBooks focusing on portal to spiritual knowledge,USA,USA,publisher;anthroposophy,Unverified
Adonis Books,https://steinerbooks.org/,Publisher/Media,Imprint of SteinerBooks for anthroposophical literary works,USA,USA,publisher;anthroposophy,Unverified
Lindisfarne Books,https://steinerbooks.org/,Publisher/Media,Imprint of SteinerBooks on spiritual science and philosophy,USA,USA,publisher;anthroposophy;spiritual-science,Unverified
Completion Press,https://steinerbooks.org/,Publisher/Media,Publisher focused on translating Rudolf Steiner's German volumes to English,USA,USA,publisher;rudolf-steiner;translation,Unverified
The Anthroposophical Research Foundation,https://unknown.placeholder,Study Group/Research,Organization conducting research on anthroposophical principles,International,International,anthroposophy;research,Unverified
Eden Institute,https://unknown.placeholder,Study Group/Research,Educational research institute exploring anthroposophy,International,International,anthroposophy;education;research,Unverified
Camphill Association Europe,https://unknown.placeholder,Society/Organization,European coordinating body for Camphill communities,International,International,camphill;europe;association,Unverified
Camphill Foundation,https://camphillfoundation.org/,Society/Organization,American nonprofit supporting Camphill communities,USA,USA,camphill;foundation;nonprofit,Yes
Waldorf Teacher Support Organization,https://unknown.placeholder,Society/Organization,Support and development organization for Waldorf educators,International,International,waldorf;teacher;support,Unverified
Foundation for Intentional Community,https://unknown.placeholder,Society/Organization,Directory and support for intentional communities including Camphill,USA,USA,intentional-community;directory;support,Yes
Steiner Archive Library,https://www.steinerlibrary.org/,Online Resource,Digital resource for Steiner materials and research,International,International,steiner;archive;digital,Unverified
AnthroSource,https://unknown.placeholder,Online Resource,Portal to anthroposophical information and resources,International,International,anthroposophy;portal;resource,Unverified
Das Goetheanum Journal,https://dasgoetheanum.com/en/,Publisher/Media,Weekly German journal published by the Goetheanum,Dornach,Switzerland,journal;goetheanum;german,Yes
Das Goetheanum English,https://unknown.placeholder,Publisher/Media,English translations of articles from Das Goetheanum,Dornach,Switzerland,journal;goetheanum;english,Unverified
Erziehungskunst Waldorf.Leben,https://unknown.placeholder,Publisher/Media,German journal on Waldorf education and pedagogy,Germany,Germany,journal;waldorf;education;german,Unverified
Art of Teaching,https://unknown.placeholder,Publisher/Media,Journal exploring creative and artistic approaches in education,International,International,journal;education;arts,Unverified
Novalis,https://unknown.placeholder,Publisher/Media,Journal of the Goetheanum in German,Dornach,Switzerland,journal;goetheanum;german,Unverified
Jahrbuch für Anthroposophie,https://unknown.placeholder,Publisher/Media,Yearbook of anthroposophical research and reflection,Germany,Germany,yearbook;anthroposophy;german,Unverified
Lucifer-Gnosis,https://unknown.placeholder,Publisher/Media,Journal exploring esoteric anthroposophy,International,International,journal;esoteric;anthroposophy,Unverified
The Threefold Herald,https://unknown.placeholder,Publisher/Media,Newsletter of Threefold Community,Chestnut Ridge,USA,newsletter;threefold;anthroposophy,Unverified
Waldorf Education Around the World,https://unknown.placeholder,Online Resource,International resource portal for Waldorf education information,International,International,waldorf;education;international;portal,Yes
Anthroposophy Today,https://unknown.placeholder,Publisher/Media,Publication exploring contemporary anthroposophical thought,International,International,magazine;anthroposophy;contemporary,Unverified
Rudolf Steiner Schule Kiel,https://www.steinerschule-kiel.de/,Waldorf School,Waldorf school in northern Germany with comprehensive K-12 education,Kiel,Germany,waldorf;school;germany;elementary;secondary,Unverified
Waldorfschule Wuppertal,https://www.waldorfschule-wuppertal.de/,Waldorf School,Anthroposophic Waldorf school in North Rhine-Westphalia,Wuppertal,Germany,waldorf;school;germany,Unverified
Waldorfschule Bad Liebenzell,https://www.waldorfschule-bad-liebenzell.de/,Waldorf School,Waldorf school in the Black Forest region of Germany,Bad Liebenzell,Germany,waldorf;school;germany,Unverified
Waldorfschule Düsseldorf,https://www.waldorfschule-duesseldorf.de/,Waldorf School,Waldorf school in western Germany serving Düsseldorf area,Düsseldorf,Germany,waldorf;school;germany,Unverified
Steinerschool Haarlem,https://www.steinerschoolhaarlem.nl/,Waldorf School,Waldorf school in the Netherlands,Haarlem,Netherlands,waldorf;school;netherlands,Unverified
Waldorfschool De Zonnebloem,https://www.dezonnebloem.nl/,Waldorf School,Waldorf school in Amsterdam Netherlands,Amsterdam,Netherlands,waldorf;school;netherlands,Unverified
Escola Waldorf Micael,https://www.escolamicael.org.br/,Waldorf School,Waldorf school in São Paulo Brazil,São Paulo,Brazil,waldorf;school;brazil;portuguese,Unverified
Escola Waldorf Mahatma Gandhi,https://unknown.placeholder,Waldorf School,Waldorf school in Rio de Janeiro Brazil,Rio de Janeiro,Brazil,waldorf;school;brazil;portuguese,Unverified
Steinerschool Durban,https://www.steinerschooldurban.co.za/,Waldorf School,Waldorf school in Durban South Africa,Durban,South Africa,waldorf;school;south-africa,Unverified
Waldorf School Johannesburg,https://www.waldorf.co.za/,Waldorf School,Waldorf school in Johannesburg South Africa,Johannesburg,South Africa,waldorf;school;south-africa,Unverified
Forleham Farm,https://forlehamfarm.co.uk/,Biodynamic Farm,Demeter-certified biodynamic farm in UK with CSA program,Sussex,UK,biodynamic;farm;demeter;csa;uk,Unverified
Dottenfelderhof,https://www.dottenfelderhof.de/,Biodynamic Farm,One of Germany's oldest biodynamic farms and educational center,Bad Vilbel,Germany,biodynamic;farm;germany;education,Unverified
Neumühle Farm,https://www.neumuehle-farm.de/,Biodynamic Farm,Biodynamic farm in northern Germany producing vegetables and grain,Malchow,Germany,biodynamic;farm;germany;organic,Unverified
Heidenhof,https://www.heidenhof.de/,Biodynamic Farm,Historic biodynamic farm in Baden-Württemberg Germany,Überlingen,Germany,biodynamic;farm;germany,Unverified
Lyonsdown Farm,https://lyonsdownfarm.co.uk/,Biodynamic Farm,Family biodynamic farm in Southeast England,Kent,UK,biodynamic;farm;uk;csa,Unverified
Camphill Heilhof,https://www.heilhof.de/,Biodynamic Farm,Biodynamic farm and community in Rhineland Germany,Cologne,Germany,biodynamic;farm;camphill;germany,Unverified
Camphill Community Glencraig,https://www.camphillglencraig.org.uk/,Camphill Community,Lifesharing community in Scotland supporting adults with disabilities,Stranraer,UK,camphill;intentional-community;scotland;therapeutic,Unverified
Camphill Blair Drummond,https://www.blairdrummond.org.uk/,Camphill Community,Historic Camphill community in central Scotland,Stirling,UK,camphill;intentional-community;scotland,Unverified
Camphill Dufftown,https://www.camphilldufftown.org.uk/,Camphill Community,Camphill community in rural Scotland with farms and enterprises,Moray,UK,camphill;intentional-community;scotland,Unverified
Camphill Hermannsburg,https://www.camphill-hermannsburg.de/,Camphill Community,German Camphill community with therapeutic work,Hannover,Germany,camphill;intentional-community;germany;therapeutic,Unverified
Camphill Weikersdorf,https://www.camphill-wien.at/,Camphill Community,Camphill community in Vienna Austria,Vienna,Austria,camphill;intentional-community;austria,Unverified
Ita Wegman Clinic,https://www.wegmanklinik.de/,Anthroposophic Medicine,First anthroposophic clinic founded by Ita Wegman with holistic care,Arlesheim,Switzerland,anthroposophic-medicine;clinic;switzerland;holistic,Unverified
Mistletoe Research Institute,https://www.mistletoe-research.org/,Anthroposophic Medicine,Research institute studying mistletoe therapy in cancer treatment,Witten-Anzhausen,Germany,anthroposophic-medicine;research;cancer;germany,Unverified
Dr. Hauschka Clinic,https://www.hauschka-klinik.de/,Anthroposophic Medicine,Anthroposophic hospital offering integrative therapies in Germany,Bad Liebenzell,Germany,anthroposophic-medicine;clinic;germany;integrative,Unverified
Eurythmy School at Goetheanum,https://goetheanum.ch/en/eurythmy,Eurythmy/Arts,Three-year eurythmy training at the Goetheanum in Switzerland,Dornach,Switzerland,eurythmy;training;goetheanum;switzerland,Unverified
International Eurythmy Federation,https://www.eurythmyworld.org/,Eurythmy/Arts,Global federation connecting eurythmists and training programs,International,International,eurythmy;professional;federation;international,Unverified
London Eurythmy School,https://londoneury.org/,Eurythmy/Arts,Four-year eurythmy diploma program in London,London,UK,eurythmy;training;london;uk,Unverified
Goetheanum Section for Mathematics and Astronomy,https://goetheanum.ch/en/sections,Society/Organization,Section of Goetheanum School of Spiritual Science focused on mathematics and natural sciences,Dornach,Switzerland,goetheanum;section;spiritual-science;research,Unverified
Goetheanum Section for Medicine,https://goetheanum.ch/en/sections,Anthroposophic Medicine,Section of Goetheanum researching anthroposophic approaches to medicine and healing,Dornach,Switzerland,goetheanum;section;medicine;research,Unverified
Goetheanum Section for the Social Sciences,https://goetheanum.ch/en/sections,Society/Organization,Section researching anthroposophy applied to social and economic life,Dornach,Switzerland,goetheanum;section;social-science;research,Unverified
Alliance for Childhood,https://www.allianceforchildhood.org/,Society/Organization,Nonprofit advocacy organization promoting child-centered education and development,USA,USA,education;childhood;advocacy;research,Unverified
Waldorf Education Action Group,https://www.waldorfeducationaction.org/,Society/Organization,Advocacy organization supporting Waldorf education worldwide,International,International,waldorf;education;advocacy;international,Unverified
